,condition,date,description,engine hours (total),id,length overall (LOA),make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,11/25/16 13:32,I have a 10hp and a 9hp. Both motors run fine. Trailer and boat are registered and legal. Great for lakes or getting into small canals.,,5888078069,14,,,,"$1,200 ",power, (East Stroudsburg),14 Foot Aluminum Boat with trailer & 2 gas motors and Trolling,https://poconos.craigslist.org/boa/5888078069.html,
1,good,11/25/16 10:37,"Up for sale is my boat, motor and trailer. Boat needs a battery and floor. Motor started up last summer when I bought it. Just don't have the time for it. Have title for trailer. Tires are starting to dry rot. Come get it before the snow starts flying. Selling it as is.",,5873125893,19,Winner,,,$500 ,power, (Marshalls Creek),Project Boat For Sale,https://poconos.craigslist.org/boa/5873125893.html,
2,excellent,11/25/16 10:28,"2003 Caravelle 232 Interceptor Bowrider 23' 8"" Has a Mercruiser 305 I/O 260hp engine, can top out at 50-55 mph. Comes with a Tandem Axle Trailer, Stainless Steel Prop have a 19"" and 21"", Wake Tower, Ski/Tow Hook, Bimini Top with changing cover, Rear Ladder Entry, Stereo W/ Speakers. Seats 10 people and has plenty of storage.  I also have tow ropes, a wake board, ski, winter cover, life jackets, anchor, and some other odds and ends for the boat. Boat is maintained and stored at a local marina.  All maintenance is done up to date including new alternator, starter, distributor cap, spark plugs, oil changes, etc.  Boat runs great and is very fast. Firemist: White w/red & black ""Finish Line"" graphics exterior.  Clean red and white interior.  I'm asking $14,000 or best offer. Cash or bank certified check, not interested in trades! Call or text 570-6 one 8 - 2 seven 2 two",0,5891518960,23,Caravelle,,232 Interceptor,"$14,000 ",power,,2003 Caravelle 232 Interceptor Bowrider,https://poconos.craigslist.org/boa/5891518960.html,2003
3,like new,11/25/16 9:46,Beautiful entertainment model in excellent condition with very low hours....comes with all accessories including a deck mounted grill on the stern....,,5891462188,27,tahoe,,cascade,"$33,000 ",power, (tafton),2015 Tahoe cascade 2785 ent,https://poconos.craigslist.org/boa/5891462188.html,2015
4,new,11/25/16 8:26,"new LAKE WANNA SIX PACK (TM) graphic t-shirts. Show your love of Lake Wallenpaupack, the big lake in the Pocono Lakes Region of PA, or your favorite lake 100% ultra cotton Gildan graphic tees: men's L and men's XL. Other sizes are available. Colors: Carolina Blue Charcoal Dark Heather Forest Green Maroon Navy Gold Cash or credit card. Local pick-up or free local delivery. Great for Christmas presents!",,5887697767,15,,"https://maps.google.com/maps/preview/@41.371269,-75.242924,16z",,$15 ,human, (Lake Wallenpaupack),new LAKE WANNA SIX PACK (TM) graphic tees - great for CHRISTMAS!,https://poconos.craigslist.org/boa/5887697767.html,
5,new,11/25/16 8:25,"brand new PLATINUM 24"" BENNINGTON PONTOON BOAT GATE FILLER SEAT. Brand new, never been used.",,5887685652,24,,"https://maps.google.com/maps/preview/@41.371063,-75.243061,16z",,$250 ,power, (Lake Wallenpaupack),"brand new PLATINUM 24"" BENNINGTON PONTOON BOAT GATE FILLER SEAT",https://poconos.craigslist.org/boa/5887685652.html,
6,,11/24/16 13:57,"Selling a Valley Aquila Sea Kayak. Fiberglass, 18'3"" These are high end kayaks it was $3800 originally. This one has all new covers, comes with a spray skirt. Paint is shiny, get in, and go for a paddle! Price is $899 for a quick sale. I don't have the time to paddle. This won't last, the price is ridiculously low and if you aren't going to drop 4K on a new one you might as well treat yourself to this awesome Kayak today!",,5876933340,18,Valley,,Aquila,$899 ,human, (Middle Smithfield Twp),"Valley Aquila Sea Kayak (fiberglass 18'3"" made in England)",https://poconos.craigslist.org/boa/5876933340.html,
7,good,11/24/16 13:50,"Selling my walkaround,in good running condition. Winterized and ready to go this spring!new plugs ,oil,oilfilter,outdrive oil,spark plug wires,gas ,outdrive rebuilt last year,garmin fishfinder, furuno chartplotter with chip .lots more plus a 90gal tank full of fuel and treated with stabil 360 ,dual axle trailer with new brake hubs and bearing,1200 takes it",,5866135934,21,Renken,"https://maps.google.com/maps/preview/@41.170500,-74.750000,16z",2288 seamaster,"$1,200 ",power, (Nwnj),Renken 2288 seamaster 4.3l,https://poconos.craigslist.org/boa/5866135934.html,
8,,11/24/16 9:12,"Wanted: 12 - 13' Canoe, Grumman or Old Town Maybe others if good quality and condition. No Coleman canoes. Thanks, Steve show contact info",,5860131827,13,,"https://maps.google.com/maps/preview/@41.466399,-75.196781,16z",,,human,,Wanted: 12 - 13' Canoe,https://poconos.craigslist.org/boa/5860131827.html,
9,good,11/24/16 8:23,"Grumman boat with 9.9 johnson new water pump, has sun screen new, trolling motor like new and battery,new steering cable,fire extinguisher,2 gas tanks, 2 spare wheels and tires ,ores,life jacket, pillows , 2 bueys, front and rear light, new tires on trailer barley 100 miles, we bought this past summer and  have no time and need room must sell 2000.00 have title for boat and trailer and is all register.",,5887369026,16,Grumman,,,"$2,000 ",power, (SAYLORSBURG),89 Grumman 14'boat & trailer,https://poconos.craigslist.org/boa/5887369026.html,1989
