,condition,date,description,engine hours (total),id,length overall (LOA),make / manufacturer,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,2016-12-11 09:13,"For sale is a like new 2012 Sea-Doo GTI Limited 155. Included with the price of the jet ski will be trailer, tube, tow rope, anchor, 3 life jackets, jet ski cover and more. Ski has been serviced regularly since I purchased it and taken care of with extreme caution. You wont find a better ski on the island or a better bang for your buck. Please feel free to inquire or ask any questions you would like. I am willing to negotiate slightly if your offer is good. Please only serious buyers and thank you for looking.",45,5894085894,11,Sea-Doo,GTI Limited 155,$11000,power, (Yigo),2012 Sea-Doo GTI Limited 155,https://micronesia.craigslist.org/boa/5894085894.html,2012
1,,2016-12-10 11:20,Tanigawa lures. @into the deep 472-3337,,5871103695,7,,,$40,power, (Gum),Tanigawa's,https://micronesia.craigslist.org/boa/5871103695.html,
2,,2016-12-10 11:20,FUTA lures. Fish head @into the deep 472-3337,,5871103765,9,,,$40,power, (Gum),FUTA lures,https://micronesia.craigslist.org/boa/5871103765.html,
3,,2016-12-10 11:20,"JC Mac Heads 7 and 9"" @into the deep 47-3337",,5872295126,9,,,$30,human,,JC Mac Heads,https://micronesia.craigslist.org/boa/5872295126.html,
4,,2016-12-10 11:20,Light tackle hooks. @into the deep 472-3337,,5872583576,4,,,$3,human, (Gum),Light tackle hooks,https://micronesia.craigslist.org/boa/5872583576.html,
5,,2016-12-10 11:19,@into the deep 472-3337,,5872578173,5,,,,human,,Light tackle stuff,https://micronesia.craigslist.org/boa/5872578173.html,
6,,2016-12-10 11:18,Glow beads @into the deep 472-3337,,5872591706,3,,,$3,human, (Guam),Glow Beads,https://micronesia.craigslist.org/boa/5872591706.html,
7,excellent,2016-12-08 21:10,"This is a feeler post. If the price is right i'll sell this baby of mine.  I've put a lot of thought and time into making this run as efficient and the way I wanted it.  I put this boat together here locally but it was bought in the states and shipped brand new just 2 years ago. It is powered with a 70 Yamaha 4-stroke with 400 hours. Hydraulic steering, stainless rod holders, 8ft stainless bimini top, Furuno GPS/Sounder, 1Kw Airmar transducer, Icom VHF, LED lights, 30 Gallon built-in fuel tank.  This thing sips gas! She sits on a Coastline aluminium trailer with wired LED lights. This boat is a true seaworthy boat. You can find similar Yamaha style boats being used all over the world! It cuts through waves like a knife. Long and slender design makes it very efficient. I have meticulously taken care of this boat since day one. All Yamaha OEM products used and sprayed after every use. Stored under a covering.",400,5910477736,22,Imemsa,w22,,power,,Imemsa Panga 22' (Yamaha),https://micronesia.craigslist.org/boa/5910477736.html,2014
8,new,2016-12-06 15:17,"Pair of new Senators, 775yds 150lb monofilament line, still have original boxes, pair of Blue Fin rods 5', straight butts. 80 class. Sold as a set preferred. $1200 for the set with rods 14/0 reel: $450.00ea 80 class 5' detachable rod: $325 for the pair. $175ea",14,5907377259,5,Penn Senator,Senator,$1200,human,,Penn Senators 14/0/ 80 class rods,https://micronesia.craigslist.org/boa/5907377259.html,2016
9,excellent,2016-12-06 14:03,"Personal Water Craft, Yamaha 3 seat'er , with trailer. Well maintained, new bottom paint.",,5907321107,12,Yamaha,,$6500,power,,PWC,https://micronesia.craigslist.org/boa/5907321107.html,
